"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA14544","W_Can",-35.4345006561816,149.037626631995,"2006","F","A",80.2,5,"Tympanocryptis lineata"
"AA14543","W_Can",-35.4438957014448,149.064526461153,"2006","F","SA",45.1,4.82,"Tympanocryptis lineata"
"AA83758","E_Can",-35.4334398580996,149.23668168165,"2020","M","A",51.5,4.75,"Tympanocryptis lineata"
"AA14546","W_Can",-35.4534857674869,149.023336459837,"2006","F","A",54.7,4.78,"Tympanocryptis lineata"
"AA14574","W_Can",-35.4468440029045,149.0350531646,"2007","J","J",22.5,2.64,"Tympanocryptis lineata"
"AA14576","W_Can",-35.438322449746,149.05894419995,"2007","J","J",37.6,2.6,"Tympanocryptis lineata"
"AA14926","W_Can",-35.4514198876923,149.029372699094,"2009","F","A",71.2,6.17,"Tympanocryptis lineata"
"AA14351","W_Can",-35.4335437395406,149.045360310931,"2006","F","A",48.1,5.55,"Tympanocryptis lineata"
"AA67172","N_Can",-35.0702007831187,149.277043960046,"2016","u","J",35.5,4.02,"Tympanocryptis lineata"
"AA67165","N_Can",-35.0773719513827,149.291415812747,"2016","u","J",36.7,3.01,"Tympanocryptis lineata"
"AA67456","E_Can",-35.4504603781657,149.23823768829,"2018","","SA",43.8,3.8,"Tympanocryptis lineata"
"AA67469","E_Can",-35.4489464804737,149.229030654182,"2018","","A",70.3,5.69,"Tympanocryptis lineata"
"AA67425","E_Can",-35.4381216230071,149.231137167333,"2018","","SA",46.7,4.43,"Tympanocryptis lineata"
"AA67184","N_Can",-35.0931770037491,149.283410863527,"2016","u","A",71.8,5.08,"Tympanocryptis lineata"
"AA83371","E_Can",-35.4414254841118,149.231189128636,"2020","M","A",48.7,5.19,"Tympanocryptis lineata"
"AA14600","N_Can",-35.0677418079712,149.278051830993,"2007","F","A",72.2,5.49,"Tympanocryptis lineata"
"AA14582","W_Can",-35.4272658842646,149.050687496146,"2007","J","J",29.6,2.52,"Tympanocryptis lineata"
"AA14929","W_Can",-35.4563629144268,149.040911523973,"2009","F","A",54.5,5.74,"Tympanocryptis lineata"
"AA83360","E_Can",-35.4425542116813,149.220650748899,"2020","M","A",71.9,4.36,"Tympanocryptis lineata"
