"id","pop","lat","lon","year","sex","age","svl","weight","species"
"AA24563","Googong",-35.4312604468788,149.232741383427,"2020","M","A",56.1,5.46,"Tympanocryptis lineata"
"AA24211","Tuggeranong",-35.4445821321318,149.043986819879,"2009","M","A",51,5.22,"Tympanocryptis lineata"
"AA24023","Tuggeranong",-35.4597869449251,149.037385423934,"2006","M","A",52.8,5.33,"Tympanocryptis lineata"
"AA24274","Kowen",-35.3416051937989,149.355426464827,"2010","M?","A",52.6,4.56,"Tympanocryptis lineata"
"AA24024","Tuggeranong",-35.4421181630295,149.038744691299,"2006","M","A",52,6.08,"Tympanocryptis lineata"
"AA24452","Kowen",-35.2991822533233,149.339263806667,"2016","M","SA",42.9,3.13,"Tympanocryptis lineata"
"AA24344","Kowen",-35.3305028312752,149.333539333776,"2013","M","A",52,5.5,"Tympanocryptis lineata"
"AA24168","Tuggeranong",-35.4568433075492,149.068204309142,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24128","Tuggeranong",-35.4409986163918,149.031836524503,"2007","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24169","Tuggeranong",-35.4435678441401,149.035359369109,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24170","Tuggeranong",-35.4321859935415,149.050703120284,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24129","Kowen",-35.3346908642838,149.323252528187,"2007","M","A",52,4.9,"Tympanocryptis lineata"
"AA24171","Tuggeranong",-35.4297765068884,149.033689449909,"2008","F","SA",39.5,2.66,"Tympanocryptis lineata"
"AA24212","Kowen",-35.3304513504757,149.326481103942,"2009","M","SA",40,3,"Tympanocryptis lineata"
"AA24453","Kowen",-35.3492037435019,149.335361479586,"2016","M","SA",46,3.24,"Tympanocryptis lineata"
"AA24454","Kowen",-35.3106606937299,149.353630774648,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24213","Kowen",-35.3257095404414,149.352996569051,"2009","M","J",36,1.8,"Tympanocryptis lineata"
"AA24275","Kowen",-35.328172356339,149.327881957742,"2010",NA,NA,NA,NA,"Tympanocryptis lineata"
"AA24455","Kowen",-35.3231599009804,149.325013659688,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24172","Tuggeranong",-35.4312513145794,149.044289462132,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24276","Tuggeranong",-35.4273671639343,149.033503693446,"2010","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24214","Tuggeranong",-35.4368979012034,149.040483223081,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24173","Tuggeranong",-35.4332992691881,149.041642963668,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24564","Googong",-35.4371307947905,149.233147524222,"2020","M?","A",49,5.2,"Tympanocryptis lineata"
"AA24174","Tuggeranong",-35.4452110555847,149.046083943758,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24175","Kowen",-35.299840760158,149.338905537922,"2008",NA,NA,NA,NA,"Tympanocryptis lineata"
"AA24215","Kowen",-35.3198938116361,149.357568084531,"2009","F","A",60,8.9,"Tympanocryptis lineata"
"AA24025","Tuggeranong",-35.4670434340316,149.036476379994,"2006","M","J",34,2.2,"Tympanocryptis lineata"
"AA24130","Tuggeranong",-35.4358119391982,149.050897927518,"2007","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24216","Kowen",-35.3324631462078,149.339395910023,"2009","M","SA",47.3,3.08,"Tympanocryptis lineata"
"AA24217","Kowen",-35.3283627106573,149.352054740767,"2009","M","J",37,1.45,"Tympanocryptis lineata"
"AA24176","Tuggeranong",-35.4366142638266,149.053810446479,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24218","Tuggeranong",-35.4335111505017,149.044733700304,"2009","M","SA",47.4,4.5,"Tympanocryptis lineata"
"AA24026","Tuggeranong",-35.4430276774785,149.034705276305,"2006","M","J",32,1.38,"Tympanocryptis lineata"
"AA24456","Kowen",-35.3154488709124,149.337046934262,"2016","F","A",59.6,7.76,"Tympanocryptis lineata"
"AA24219","Tuggeranong",-35.4442139987035,149.039396913352,"2009","M","A",50,4.86,"Tympanocryptis lineata"
"AA24177","Tuggeranong",-35.4419328249593,149.039952198971,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24220","Kowen",-35.3083411195008,149.346538631014,"2009","M","SA",46,3.2,"Tympanocryptis lineata"
"AA24345","Kowen",-35.3415154736535,149.354864987573,"2013","M","A",51.7,5.8,"Tympanocryptis lineata"
"AA24131","Tuggeranong",-35.4363563353826,149.029761090698,"2007","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24565","Googong",-35.4461374668903,149.231790559241,"2020","F","J",23,0.8,"Tympanocryptis lineata"
"AA24178","Tuggeranong",-35.443184838685,149.063814812077,"2008","M","A",56,5.5,"Tympanocryptis lineata"
"AA24277","Kowen",-35.3369707992548,149.344877935453,"2010",NA,NA,NA,NA,"Tympanocryptis lineata"
"AA24515","Googong",-35.4194687689598,149.222470873221,"2018","",NA,NA,NA,"Tympanocryptis lineata"
"AA24179","Tuggeranong",-35.447015012129,149.036303678869,"2008","F","J",35.5,1.94,"Tympanocryptis lineata"
"AA24027","Tuggeranong",-35.4532049720059,149.03106994719,"2006","M","A",49,3.41,"Tympanocryptis lineata"
"AA24516","Googong",-35.4565130363644,149.227983891557,"2018","",NA,NA,NA,"Tympanocryptis lineata"
"AA24457","Kowen",-35.3318634474164,149.351856287625,"2016","M","J",34,1.37,"Tympanocryptis lineata"
"AA24221","Kowen",-35.3311303742278,149.347982594053,"2009","F","SA",39.8,2.82,"Tympanocryptis lineata"
"AA24458","Kowen",-35.323339330718,149.329521880472,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24028","Tuggeranong",-35.4381768955268,149.052937866453,"2006","F?","A",49,4.45,"Tympanocryptis lineata"
"AA24029","Tuggeranong",-35.4291236944416,149.049379418662,"2006","F?","J",34.6,1.84,"Tympanocryptis lineata"
"AA24030","Tuggeranong",-35.4446461049544,149.046870006039,"2006","F?","A",57.83333333,8.38,"Tympanocryptis lineata"
"AA24180","Tuggeranong",-35.4125764580037,149.035422674605,"2008","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24459","Tuggeranong",-35.435961885974,149.044873973316,"2016","M","A",53,5.5,"Tympanocryptis lineata"
"AA24222","Kowen",-35.3210912718233,149.348007617198,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24517","Googong",-35.4478461839087,149.226368381373,"2018","M","SA",42,2.3,"Tympanocryptis lineata"
"AA24031","Tuggeranong",-35.4508253937221,149.041710568171,"2006","F?","A",55.3,5.73,"Tympanocryptis lineata"
"AA24032","Tuggeranong",-35.4201500475571,149.027106104664,"2006","F?","A",56,6,"Tympanocryptis lineata"
"AA24566","Googong",-35.4417697618375,149.229564578112,"2020","F","A",50,6.16,"Tympanocryptis lineata"
"AA24460","Kowen",-35.326983456871,149.350962304539,"2016","u",NA,NA,NA,"Tympanocryptis lineata"
"AA24278","Tuggeranong",-35.4558181363221,149.040247401884,"2010","M","A",54,6.17,"Tympanocryptis lineata"
"AA24132","Tuggeranong",-35.444821690003,149.047769270171,"2007","M","SA",41,2.9,"Tympanocryptis lineata"
"AA24033","Tuggeranong",-35.4434843467748,149.044469366815,"2006","M","SA",40.66666667,3.78,"Tympanocryptis lineata"
"AA24133","Kowen",-35.3271202054936,149.343926314865,"2007","F","SA",45,3,"Tympanocryptis lineata"
"AA24034","Tuggeranong",-35.443226657643,149.034567166824,"2006","M","SA",48,5.4,"Tympanocryptis lineata"
"AA24223","Tuggeranong",-35.4374029047306,149.04813470075,"2009","M","A",51,6,"Tympanocryptis lineata"
"AA24461","Kowen",-35.3108235435266,149.349503430204,"2016","M","A",51.3,4.97,"Tympanocryptis lineata"
"AA24224","Kowen",-35.323565429555,149.34637061544,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24462","Tuggeranong",-35.4500192183326,149.028700725376,"2016","M","A",50.8,4.77,"Tympanocryptis lineata"
"AA24346","Kowen",-35.3166562883294,149.333134808552,"2013","M","J",36,1.83,"Tympanocryptis lineata"
"AA24347","Kowen",-35.3183290050752,149.329876093942,"2013","U",NA,NA,NA,"Tympanocryptis lineata"
"AA24225","Tuggeranong",-35.4293956334945,149.050833936115,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
"AA24226","Kowen",-35.3384222664337,149.334338308806,"2009","F","A",50,4.51,"Tympanocryptis lineata"
"AA24227","Tuggeranong",-35.4512503983908,149.033231446549,"2009","J",NA,NA,NA,"Tympanocryptis lineata"
